11/23/2020 17:11:04.65 	w3wp.exe (0x4940)                       	0x0E44	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:11:06.53 	w3wp.exe (0x4940)                       	0x0E44	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:23:49.76 	w3wp.exe (0x4940)                       	0x04EC	SharePoint Foundation         	Monitoring                    	nasq	Medium  	Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:49.76 	w3wp.exe (0x4940)                       	0x04EC	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:49.77 	w3wp.exe (0x4940)                       	0x04EC	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:49.82 	w3wp.exe (0x4940)                       	0x1604	SharePoint Foundation         	Monitoring                    	nasq	Medium  	Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:49.82 	w3wp.exe (0x4940)                       	0x1604	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:50.75 	w3wp.exe (0x4940)                       	0x1604	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:56.05 	w3wp.exe (0x4940)                       	0x2D9C	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:56.05 	w3wp.exe (0x4940)                       	0x2D9C	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:56.25 	w3wp.exe (0x4940)                       	0x2D9C	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:56.35 	w3wp.exe (0x4940)                       	0x13E4	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:23:56.35 	w3wp.exe (0x4940)                       	0x13E4	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:24:07.11 	w3wp.exe (0x4940)                       	0x13E4	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:16.16 	w3wp.exe (0x4940)                       	0x3F88	SharePoint Foundation         	Monitoring                    	nasq	Medium  	Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:16.16 	w3wp.exe (0x4940)                       	0x3F88	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:16.44 	w3wp.exe (0x4940)                       	0x3F88	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:33.59 	w3wp.exe (0x4940)                       	0x1604	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:33.59 	w3wp.exe (0x4940)                       	0x1604	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:33.82 	w3wp.exe (0x4940)                       	0x1604	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:33.90 	w3wp.exe (0x4940)                       	0x0E44	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:33.90 	w3wp.exe (0x4940)                       	0x0E44	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:33.93 	w3wp.exe (0x4940)                       	0x0E44	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:33.95 	w3wp.exe (0x4940)                       	0x37D0	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:33.95 	w3wp.exe (0x4940)                       	0x37D0	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:45.70 	w3wp.exe (0x4940)                       	0x37D0	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:58.76 	w3wp.exe (0x4940)                       	0x2D9C	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:58.76 	w3wp.exe (0x4940)                       	0x2D9C	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:59.25 	w3wp.exe (0x4940)                       	0x2D9C	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:59.40 	w3wp.exe (0x4940)                       	0x13E4	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:59.40 	w3wp.exe (0x4940)                       	0x13E4	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:59.43 	w3wp.exe (0x4940)                       	0x13E4	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:59.45 	w3wp.exe (0x4940)                       	0x04EC	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:33:59.45 	w3wp.exe (0x4940)                       	0x04EC	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:34:10.57 	w3wp.exe (0x4940)                       	0x04EC	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20Manager%20Allocation%20Performance%20and%20Exposure%20for%20Quarterly%20Letter%20Report.rdl
11/23/2020 17:42:41.20 	w3wp.exe (0x4940)                       	0x0D04	SharePoint Foundation         	Claims Authentication         	amge7	Medium  	/Reports/PM%20Contribution%20To%20Returns%20Over%20Time%20Live.rdl
11/23/2020 17:42:41.22 	w3wp.exe (0x4940)                       	0x1604	SharePoint Foundation         	Monitoring                    	nasq	Medium  	Reports/PM%20Contribution%20To%20Returns%20Over%20Time%20Live.rdl
11/23/2020 17:42:41.23 	w3wp.exe (0x4940)                       	0x1604	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	Reports/PM%20Contribution%20To%20Returns%20Over%20Time%20Live.rdl
11/23/2020 17:42:41.73 	w3wp.exe (0x4940)                       	0x1604	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/PM%20Contribution%20To%20Returns%20Over%20Time%20Live.rdl
